Province,District,Cattle,Buffaloes,Sheep,Goat,Pigs,Fowl,Duck
1,BHOJPUR,92751,54766,6050,101628,48318,322655,1825
1,DHANKUTA,95805,19354,542,187016,32654,588912,3949
1,ILAM,161288,23840,138,169842,31762,525401,968
1,JHAPA,273501,78000,38,320000,74000,1430000,5150
1,KHOTANG,95898,63064,6163,135082,48826,363494,2230
1,MORANG,432314,111524,477,372401,59754,1795399,56097
1,OKHALDHUNGA,54531,52932,7637,141264,63999,301162,941
1,PANCHTHAR,105450,42978,1318,135983,46454,371580,755
1,SANKHUWASABHA,106030,45797,12908,176774,36477,434371,590
1,SOLUKHUMBU,51755,46000,8932,98634,25021,244950,929
1,SUNSARI,315720,165210,3250,276500,62100,1250500,21275
1,TAPLEJUNG,55541,18575,5610,91345,28493,243185,1097
1,TERHATHUM,67589,25701,4772,125186,31684,228634,2167
1,UDAYAPUR,132484,111276,850,299049,56807,723548,6256
Madhesh,BARA,163001,171994,271,315468,25002,600983,12677
Madhesh,DHANUSHA,156435,72778,485,238742,7026,948972,10474
Madhesh,MAHOTTARI,134695,77095,615,212271,15310,679530,7179
Madhesh,PARSA,89522,57305,175,130002,10512,866021,8127
Madhesh,RAUTAHAT,135217,85237,0,215946,10204,338231,8595
Madhesh,SAPTARI,266607,197380,2284,215503,26607,1180162,25333
Madhesh,SARLAHI,222589,96636,1015,249358,10587,639152,10339
Madhesh,SIRAHA,103301,96969,1054,138465,6849,961438,12032
Bagmati,BHAKTAPUR,29048,9334,1017,42507,16928,2855907,4767
Bagmati,CHITWAN,102997,78833,3070,268517,16876,18875631,14252
Bagmati,DHADING,137845,99678,9630,189053,18112,2298399,2038
Bagmati,DOLAKHA,79222,56839,11271,179368,9302,521496,824
Bagmati,KATHMANDU,51375,39101,1183,49543,36902,3076233,29429
Bagmati,KABHREPALANCHOK,151873,148640,3807,309558,13005,2891589,3891
Bagmati,LALITPUR,23736,57558,2345,73079,11127,1505888,15028
Bagmati,MAKWANPUR,109569,"112,669",2791,308842,10482,2130429,4309
Bagmati,NUWAKOT,128205,"107,370",15700,341000,11305,916109,3471
Bagmati,RAMECHHAP,74346,"45,742",2526,218453,12816,305576,1389
Bagmati,RASUWA,14200,"6,600",29006,42169,1077,102000,390
Bagmati,SINDHULI,138344,"68,816",462,290345,12556,1123651,5162
Bagmati,SINDHUPALCHOK,58800,"65,033",9753,208237,8875,471852,833
Gandaki,BAGLUNG,22490,"87,708",9531,126668,10981,389249,1826
Gandaki,GORKHA,68047,"63,568",18726,273362,12644,592781,444
Gandaki,KASKI,42308,"47,768",13328,148835,23095,2858939,13029
Gandaki,LAMJUNG,19376,"35,777",13401,145559,7467,320981,960
Gandaki,MANANG,2308,0,3405,5879,79,7105,0
Gandaki,MUSTANG,6851,126,5258,55797,32,10153,116
Gandaki,MYAGDI,33516,"26,646",28840,108660,2577,211005,2750
Gandaki,NAWALPARASI EAST,74545,"68,492",2004,115334,24546,921278,18472
Gandaki,PARBAT,16143,"28,137",2618,55970,7516,297284,4652
Gandaki,SYANGJA,26505,"106,804",2044,250485,24646,480795,1511
Gandaki,TANAHUN,51717,"56,472",714,387376,57272,580953,1283
Lumbini,ARGHAKHANCHI,40046,"98,517",1242,134161,2808,493214,1070
Lumbini,BANKE,221297,"185,337",9700,322897,75639,1146410,2621
Lumbini,BARDIYA,123245,"132,936",11247,214749,38296,487445,2381
Lumbini,DANG,141678,"138,450",34386,301104,92161,3180939,14800
Lumbini,GULMI,44524,"49,863",6586,151259,11456,255081,516
Lumbini,KAPILBASTU,164820,"145,480",12645,270350,23719,720915,8095
Lumbini,NAWALPARASI WEST,78484,"69,935",2860,100493,39715,549013,21642
Lumbini,PALPA,76262,"89,241",2864,220986,28203,762240,2458
Lumbini,PYUTHAN,75211,"74,532",14273,179638,10998,324099,1060
Lumbini,ROLPA,102641,"55,312",14525,202015,36506,498287,558
Lumbini,RUKUM EAST,18191,17452,22355,62125,10265,128789,275
Lumbini,RUPANDEHI,98423,151128,4445,260111,17349,1361151,23615
Karnali,DAILEKH,81710,57778,15609,236017,12052,161650,1250
Karnali,DOLPA,22456,3327,36095,52865,108,42329,87
Karnali,HUMLA,16646,2851,30801,73395,118,15406,353
Karnali,JAJARKOT,38950,33362,25542,118844,2757,152066,724
Karnali,JUMLA,66040,3601,73241,44677,325,67362,568
Karnali,KALIKOT,25150,29136,36031,84618,1635,63095,156
Karnali,MUGU,38400,14095,42311,47689,78,12540,143
Karnali,RUKUM WEST,26612,52404,26929,165118,3332,403581,645
Karnali,SALYAN,117043,71134,14651,315438,12484,428225,2676
Karnali,SURKHET,53389,41839,5892,334720,12474,353249,3104
Sudurpaschim,ACHHAM,43989,35322,3085,114431,394,87201,313
Sudurpaschim,BAITADI,124533,50071,504,129803,658,29496,234
Sudurpaschim,BAJHANG,129857,30966,26452,82558,2046,49539,409
Sudurpaschim,BAJURA,85002,21962,19672,77718,1604,54691,432
Sudurpaschim,DADELDHURA,89943,21635,425,141919,1249,66284,205
Sudurpaschim,DARCHULA,68474,30423,22861,68332,552,37348,220
Sudurpaschim,DOTI,109539,48102,662,118896,2471,127770,174
Sudurpaschim,KAILALI,216295,158695,14267,141293,24613,1541163,7431
Sudurpaschim,KANCHANPUR,152601,112923,4553,133340,14109,1033936,4200
