Province,District,Sheeps No.,Sheep Wool Produced
1,BHOJPUR,"6,050","4,129"
1,DHANKUTA,542,367
1,ILAM,138,90
1,JHAPA,38,15
1,KHOTANG,"6,163","4,177"
1,MORANG,477,213
1,OKHALDHUNGA,"7,637","5,433"
1,PANCHTHAR,"1,318",920
1,SANKHUWASABHA,"12,908","9,294"
1,SOLUKHUMBU,"8,932","6,227"
1,SUNSARI,"3,250","1,378"
1,TAPLEJUNG,"5,610","4,086"
1,TERHATHUM,"4,772","3,594"
1,UDAYAPUR,850,549
Madhesh,BARA,271,113
Madhesh,DHANUSHA,485,195
Madhesh,MAHOTTARI,615,256
Madhesh,PARSA,175,70
Madhesh,RAUTAHAT,0,0
Madhesh,SAPTARI,"2,284",943
Madhesh,SARLAHI,"1,015",440
Madhesh,SIRAHA,"1,054",467
Bagmati,BHAKTAPUR,"1,017",552
Bagmati,CHITWAN,"3,070","1,708"
Bagmati,DHADING,"9,630","6,670"
Bagmati,DOLAKHA,"11,271","7,627"
Bagmati,KATHMANDU,"1,183",667
Bagmati,KABHREPLANCHOK,"3,807","2,123"
Bagmati,LALITPUR,"2,345","1,101"
Bagmati,MAKWANPUR,"2,791","1,391"
Bagmati,NUWAKOT,"15,700","14,051"
Bagmati,RAMECHHAP,"2,526","1,791"
Bagmati,RASUWA,"29,006","20,161"
Bagmati,SINDHULI,462,291
Bagmati,SINDHUPALCHOK,"9,753","7,526"
Gandaki,BAGLUNG,"9,531","6,905"
Gandaki,GORKHA,"18,726","14,606"
Gandaki,KASKI,"13,328","7,742"
Gandaki,LAMJUNG,"13,401","8,373"
Gandaki,MANANG,"3,405","3,182"
Gandaki,MUSTANG,"5,258","4,682"
Gandaki,MYAGDI,"28,840","23,627"
Gandaki,NAWALPARASI EAST,"2,004",970
Gandaki,PARBAT,"2,618","2,078"
Gandaki,SYANGJA,"2,044","1,495"
Gandaki,TANAHUN,714,490
Lumbini,ARGHAKHANCHI,"1,242",955
Lumbini,BANKE,"9,700","4,717"
Lumbini,BARDIYA,"11,247","5,137"
Lumbini,DANG,"34,386","14,631"
Lumbini,GULMI,"6,586","5,160"
Lumbini,KAPILBASTU,"12,645","5,765"
Lumbini,NAWALPARASI WEST,"2,860","1,158"
Lumbini,PALPA,"2,864","1,876"
Lumbini,PYUTHAN,"14,273","9,541"
Lumbini,ROLPA,"14,525","11,006"
Lumbini,RUKUM EAST,"22,355","14,787"
Lumbini,RUPANDEHI,"4,445","2,105"
Karnali,DAILEKH,"15,609","11,114"
Karnali,DOLPA,"36,095","30,270"
Karnali,HUMLA,"30,801","25,665"
Karnali,JAJARKOT,"25,542","20,255"
Karnali,JUMLA,"73,241","65,973"
Karnali,KALIKOT,"36,031","30,502"
Karnali,MUGU,"42,311","37,401"
Karnali,RUKUM WEST,"26,929","19,988"
Karnali,SALYAN,"14,651","10,360"
Karnali,SURKHET,"5,892","4,373"
Sudurpaschim,ACHHAM,"3,085","2,352"
Sudurpaschim,BAITADI,504,392
Sudurpaschim,BAJHANG,"26,452","22,732"
Sudurpaschim,BAJURA,"19,672","16,673"
Sudurpaschim,DADELDHURA,425,329
Sudurpaschim,DARCHULA,"22,861","17,523"
Sudurpaschim,DOTI,662,450
Sudurpaschim,KAILALI,"14,267","6,066"
Sudurpaschim,KANCHANPUR,"4,553","1,976"
