Province,District,Laying Hen,Laying Duck,Hen Egg,Duck Egg,Total Egg
1,BHOJPUR,12315,931,924,74,998
1,DHANKUTA,38583,2014,3520,163,3683
1,ILAM,77531,494,7859,42,7901
1,JHAPA,265012,2724,28928,241,29170
1,KHOTANG,28552,1115,2173,90,2262
1,MORANG,332223,30517,44185,2801,46985
1,OKHALDHUNGA,19780,471,1761,35,1797
1,PANCHTHAR,42356,378,4118,32,4150
1,SANKHUWASABHA,34602,295,3356,25,3381
1,SOLUKHUMBU,17662,455,1303,36,1338
1,SUNSARI,182171,11565,24047,1060,25106
1,TAPLEJUNG,10774,549,809,43,852
1,TERHATHUM,17422,1081,1516,88,1604
1,UDAYAPUR,73307,3303,7587,271,7857
Madhesh,BARA,80378,6592,7642,530,8172
Madhesh,DHANUSHA,120189,5446,11339,428,11767
Madhesh,MAHOTTARI,68428,3733,6019,284,6303
Madhesh,PARSA,113998,4064,10510,325,10835
Madhesh,RAUTAHAT,49161,4469,4730,347,5076
Madhesh,SAPTARI,164960,13173,16357,975,17332
Madhesh,SARLAHI,70315,5376,7127,407,7534
Madhesh,SIRAHA,122750,6257,12367,550,12917
Bagmati,BHAKTAPUR,514596,2479,72043,187,72231
Bagmati,CHITWAN,3556513,7269,540590,552,541142
Bagmati,DHADING,339816,1039,47234,80,47315
Bagmati,DOLAKHA,71649,420,7670,33,7703
Bagmati,KATHMANDU,551160,15303,77162,1176,78338
Bagmati,KAVRE,471571,1984,62214,155,62369
Bagmati,LALITPUR,207717,7664,28042,598,28640
Bagmati,MAKWANPUR,259793,2198,36371,170,36541
Bagmati,NUWAKOT,86597,1770,8751,134,8885
Bagmati,RAMECHHAP,29299,708,2735,55,2790
Bagmati,RASUWA,7602,199,651,15,666
Bagmati,SINDHULI,91273,2633,8751,197,8949
Bagmati,SINDHUPALCHOK,45697,425,3751,34,3785
Gandaki,BAGLUNG,30731,895,3139,73,3212
Gandaki,GORKHA,92563,218,10598,18,10615
Gandaki,KASKI,512861,6384,74365,519,74884
Gandaki,LAMJUNG,46123,470,5718,36,5754
Gandaki,MANANG,350,0,27,0,27
Gandaki,MUSTANG,1822,0,139,0,139
Gandaki,MYAGDI,27453,1348,2412,108,2520
Gandaki,NAWALPARASI EAST,162584,9051,22599,724,23323
Gandaki,PARBAT,44066,2279,4147,174,4321
Gandaki,SYANGJA,79667,0,8597,0,8597
Gandaki,TANAHUN,104521,629,11292,49,11341
Lumbini,ARGHAKHANCHI,56941,514,5969,41,6010
Lumbini,BANKE,155378,1284,18840,104,18944
Lumbini,BARDIYA,72630,1104,8655,87,8742
Lumbini,DANG,579073,7252,73515,558,74073
Lumbini,GULMI,28800,253,2521,19,2541
Lumbini,KAPILBASTU,104027,3967,12073,312,12386
Lumbini,NAWALPARASI WEST,84386,10605,10970,891,11861
Lumbini,PALPA,60233,1180,6786,100,6886
Lumbini,PYUTHAN,40771,498,4152,40,4192
Lumbini,ROLPA,30569,268,2298,21,2319
Lumbini,RUKUM,13238,135,1125,11,1135
Lumbini,RUPANDEHI,166892,11571,22030,892,22922
Karnali,DAILEKH,15870,613,1263,47,1309
Karnali,DOLPA,2280,43,187,3,190
Karnali,HUMLA,678,169,53,13,66
Karnali,JAJARKOT,16322,355,1407,27,1434
Karnali,JUMLA,7230,278,709,22,731
Karnali,KALIKOT,5762,76,548,6,554
Karnali,MUGU,791,66,62,5,67
Karnali,RUKUM WEST,33430,316,2530,26,2555
Karnali,SALYAN,57091,1311,3983,104,4087
Karnali,SURKHET,54983,1521,4699,119,4817
Sudurpaschim,ACHHAM,10792,150,822,12,834
Sudurpaschim,BAITADI,3680,112,235,9,244
Sudurpaschim,BAJHANG,6498,200,572,16,588
Sudurpaschim,BAJURA,5576,212,447,18,465
Sudurpaschim,DADELDHURA,6450,100,428,8,436
Sudurpaschim,DARCHULA,5362,108,460,9,468
Sudurpaschim,DOTI,10525,87,886,7,893
Sudurpaschim,KAILALI,275572,3716,24133,298,24431
Sudurpaschim,KANCHANPUR,183687,2101,16091,170,16261
