Province,District,Sheeps No.,Sheep Wool Produced
1,BHOJPUR,6050,4129
1,DHANKUTA,542,367
1,ILAM,138,90
1,JHAPA,38,15
1,KHOTANG,6163,4177
1,MORANG,477,213
1,OKHALDHUNGA,7637,5433
1,PANCHTHAR,1318,920
1,SANKHUWASABHA,12908,9294
1,SOLUKHUMBU,8932,6227
1,SUNSARI,3250,1378
1,TAPLEJUNG,5610,4086
1,TERHATHUM,4772,3594
1,UDAYAPUR,850,549
Madhesh,BARA,271,113
Madhesh,DHANUSHA,485,195
Madhesh,MAHOTTARI,615,256
Madhesh,PARSA,175,70
Madhesh,RAUTAHAT,0,0
Madhesh,SAPTARI,2284,943
Madhesh,SARLAHI,1015,440
Madhesh,SIRAHA,1054,467
Bagmati,BHAKTAPUR,1017,552
Bagmati,CHITWAN,3070,1708
Bagmati,DHADING,9630,6670
Bagmati,DOLAKHA,11271,7627
Bagmati,KATHMANDU,1183,667
Bagmati,KABHREPLANCHOK,3807,2123
Bagmati,LALITPUR,2345,1101
Bagmati,MAKWANPUR,2791,1391
Bagmati,NUWAKOT,15700,14051
Bagmati,RAMECHHAP,2526,1791
Bagmati,RASUWA,29006,20161
Bagmati,SINDHULI,462,291
Bagmati,SINDHUPALCHOK,9753,7526
Gandaki,BAGLUNG,9531,6905
Gandaki,GORKHA,18726,14606
Gandaki,KASKI,13328,7742
Gandaki,LAMJUNG,13401,8373
Gandaki,MANANG,3405,3182
Gandaki,MUSTANG,5258,4682
Gandaki,MYAGDI,28840,23627
Gandaki,NAWALPARASI EAST,2004,970
Gandaki,PARBAT,2618,2078
Gandaki,SYANGJA,2044,1495
Gandaki,TANAHUN,714,490
Lumbini,ARGHAKHANCHI,1242,955
Lumbini,BANKE,9700,4717
Lumbini,BARDIYA,11247,5137
Lumbini,DANG,34386,14631
Lumbini,GULMI,6586,5160
Lumbini,KAPILBASTU,12645,5765
Lumbini,NAWALPARASI WEST,2860,1158
Lumbini,PALPA,2864,1876
Lumbini,PYUTHAN,14273,9541
Lumbini,ROLPA,14525,11006
Lumbini,RUKUM EAST,22355,14787
Lumbini,RUPANDEHI,4445,2105
Karnali,DAILEKH,15609,11114
Karnali,DOLPA,36095,30270
Karnali,HUMLA,30801,25665
Karnali,JAJARKOT,25542,20255
Karnali,JUMLA,73241,65973
Karnali,KALIKOT,36031,30502
Karnali,MUGU,42311,37401
Karnali,RUKUM WEST,26929,19988
Karnali,SALYAN,14651,10360
Karnali,SURKHET,5892,4373
Sudurpaschim,ACHHAM,3085,2352
Sudurpaschim,BAITADI,504,392
Sudurpaschim,BAJHANG,26452,22732
Sudurpaschim,BAJURA,19672,16673
Sudurpaschim,DADELDHURA,425,329
Sudurpaschim,DARCHULA,22861,17523
Sudurpaschim,DOTI,662,450
Sudurpaschim,KAILALI,14267,6066
Sudurpaschim,KANCHANPUR,4553,1976
