Province,District,Yak/Nak/Chauri
1,BHOJPUR,500
1,ILLAM,40
1,KHOTANG,190
1,OKHALDHUNGA,676
1,PANCHTHAR,1115
1,SANKHUWASABHA,2916
1,SOLUKHUMBU,8538
1,TAPLEJUNG,3812
Bagmati,DHADING,303
Bagmati,DOLAKHA,5116
Bagmati,NUWAKOT,31
Bagmati,RAMECHAP,1195
Bagmati,RASUWA,3750
Bagmati,SINDHUPALCHOK,4098
Gandaki,GORKHA,3224
Gandaki,KASKI,344
Gandaki,LAMJUNG,120
Gandaki,MANANG,4319
Gandaki,MUSTANG,3873
Gandaki,MYAGDI,301
Lumbini,RUKUM WEST,20
Karnali,DOLPA,7605
Karnali,HUMLA,8300
Karnali,JUMLA,1015
Karnali,KALIKOT,92
Karnali,MUGU,2834
Sudurpaschim,BAJURA,107
Sudurpaschim,BAJHANG,234
Sudurpaschim,DARCHULA,738
